".id"	"X"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalues"	"rank"	"leading_edge"	"core_enrichment"
"1"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0033141"	"GO:0033141"	"positive regulation of peptidyl-serine phosphorylation of STAT protein"	20	0.729880299029167	1.67233203904008	0.00208986415882968	0.259100505405924	0.252624395740808	4037	"tags=60%, list=12%, signal=53%"	"3448/3442/338376/3452/3446/3445/3456/3467/3443/3441/3447/3449"
"2"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0031284"	"GO:0031284"	"positive regulation of guanylate cyclase activity"	10	0.724078604258262	1.47502899786998	0.0196759259259259	0.591413551401869	0.576631414986063	7818	"tags=60%, list=24%, signal=46%"	"2980/5957/2981/9626/4846/4843"
"3"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0033139"	"GO:0033139"	"regulation of peptidyl-serine phosphorylation of STAT protein"	22	0.71667094668928	1.66249508320372	0.00208116545265349	0.259100505405924	0.252624395740808	4037	"tags=55%, list=12%, signal=48%"	"3448/3442/338376/3452/3446/3445/3456/3467/3443/3441/3447/3449"
"4"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0061478"	"GO:0061478"	"response to platelet aggregation inhibitor"	13	0.692133355733237	1.48102468367157	0.018640350877193	0.591413551401869	0.576631414986063	1480	"tags=15%, list=4%, signal=15%"	"114/5967"
"5"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0052697"	"GO:0052697"	"xenobiotic glucuronidation"	11	0.685523182644778	1.42697421617079	0.0453001132502831	0.637728322485828	0.621788567576826	5493	"tags=64%, list=17%, signal=53%"	"54659/54657/54579/54576/54578/54600/54658"
"6"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0070170"	"GO:0070170"	"regulation of tooth mineralization"	10	0.683055065818435	1.39145946765859	0.0543981481481481	0.681378865979381	0.664348083840759	5830	"tags=50%, list=18%, signal=41%"	"401138/9313/1758/7475/265"
"7"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0009812"	"GO:0009812"	"flavonoid metabolic process"	15	0.682175577760123	1.50076433248474	0.0129171151776103	0.591413551401869	0.576631414986063	9640	"tags=73%, list=29%, signal=52%"	"54659/54657/54579/54576/1543/54578/54600/54658/27284/54577/54575"
"8"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0002323"	"GO:0002323"	"natural killer cell activation involved in immune response"	31	0.676250428401723	1.61853460181898	0.00204081632653061	0.259100505405924	0.252624395740808	8314	"tags=71%, list=25%, signal=53%"	"3448/3442/338376/3452/3446/3445/3456/3467/3443/3441/3447/3449/51744/257101/114771/3444/100431172/201294/57115/3593/3439/3134"
"9"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:1905651"	"GO:1905651"	"regulation of artery morphogenesis"	10	0.672791679736482	1.37055180376936	0.0613425925925926	0.730168269230769	0.711918016194332	2948	"tags=40%, list=9%, signal=36%"	"406945/664616/574408/406944"
"10"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0018298"	"GO:0018298"	"protein-chromophore linkage"	13	0.670674812873196	1.43510776406628	0.0296052631578947	0.591413551401869	0.576631414986063	4693	"tags=46%, list=14%, signal=40%"	"5956/2652/6010/3493/94233/221391"
"11"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0042501"	"GO:0042501"	"serine phosphorylation of STAT protein"	26	0.668544470342806	1.57180159493142	0.00309597523219814	0.368785285011838	0.359567649774591	4037	"tags=46%, list=12%, signal=41%"	"3448/3442/338376/3452/3446/3445/3456/3467/3443/3441/3447/3449"
"12"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0031282"	"GO:0031282"	"regulation of guanylate cyclase activity"	12	0.655651827108854	1.38066846094384	0.0535714285714286	0.672409976387249	0.655603367923942	7818	"tags=50%, list=24%, signal=38%"	"2980/5957/2981/9626/4846/4843"
"13"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0006957"	"GO:0006957"	"complement activation, alternative pathway"	14	0.653769175207425	1.42285312135276	0.03470715835141	0.620135255837693	0.604635232332458	10353	"tags=79%, list=31%, signal=54%"	"731/735/574461/81494/718/1675/730/11326/3075/1378/732"
"14"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0051133"	"GO:0051133"	"regulation of NK T cell activation"	10	0.643692051755605	1.31127261108697	0.100694444444444	0.894039735099338	0.871693582742729	8828	"tags=60%, list=27%, signal=44%"	"64926/149233/3570/3593/11314/3592"
"15"	"07_GSEA/HighvsLow/gsea_output/high_low_GSEA_Go_BP.csv"	"GO:0035878"	"GO:0035878"	"nail development"	10	0.641781449707731	1.30738050129747	0.104166666666667	0.894039735099338	0.871693582742729	7764	"tags=50%, list=23%, signal=38%"	"3890/4488/3229/4487/3691"
